artistidspotify,artistnamespotify,followers,popularity,genres
3wGWCP3E3tYqj5memYV9Vq,Bloco do Sargento Pimenta,5169,7,['bloco']
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,4303517,68,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']"
62F9BiUmjqeXbBztCwiX1U,Lil Darkie,1547878,67,"['glitchcore', 'meme rap', 'viral rap']"
74ASZWbe4lXaubB36ztrGX,Bob Dylan,6285864,68,"['classic rock', 'country rock', 'folk', 'folk rock', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter']"
5o723EMxNulM5ydXRh7Qkk,The Beatles Complete On Ukulele,2216,13,[]
6w3S2c3TqD9lPPN2qOpHw1,Pussy Galore,11269,11,"['noise rock', 'post-punk', 'punk blues']"
5oFsjDzNu5UwbtKnGXKacN,Akasha,5356,36,['lo-fi beats']
67meObnM9NdAyCO373aaEp,Dale Watson,34853,31,"['bakersfield sound', 'classic texas country', 'memphis americana', 'outlaw country']"
0kbYTNQb4Pb1rPbbaF0pT4,Miles Davis,2458487,59,"['cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet', 'soul', 'vocal jazz']"
776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,6417439,67,"['acid rock', 'album rock', 'alternative rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']"
3EOEK57CV77D4ovYVcmiyt,Dennis Lloyd,657234,63,['israeli pop']
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,5919171,72,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']"
44NX2ffIYHr6D4n7RaZF7A,Van Morrison,3000913,69,"['classic rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,29186247,80,"['r&b', 'soul']"
0f8MDDzIc6M4uH1xH0o0gy,Robert Johnson,560248,42,"['acoustic blues', 'blues', 'delta blues', 'pre-war blues', 'traditional blues']"
7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,6299086,72,"['motown', 'soul']"
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,10597776,79,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']"
51Blml2LZPmy7TTiAg47vQ,U2,11653893,75,"['irish rock', 'permanent wave', 'rock']"
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,13839901,73,"['album rock', 'classic rock', 'hard rock', 'rock']"
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3826797,72,"['pop', 'pop dance', 'tropical house', 'uk dance']"
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,13438664,78,"['album rock', 'british invasion', 'classic rock', 'rock']"
1eYgSi9O2AX4sLhR06HKCz,Jack Russell,6119,22,['trap venezolano']
2eHOlyX9GEmBZw0X7uBiI0,Mrs. Henry,660,6,['san diego indie']
319yZVtYM9MBGqmSQnMyY6,Carole King,1458596,59,"['brill building pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']"
5jd0MgoI9F3hxcQHBPEk6V,Bossa Bros,10416,56,['bossa nova cover']
5bOsFzuJ6QZMr86ezC4oXY,The Ink Spots,272364,52,"['lounge', 'vocal harmony group']"
3cMInYqk6yzf37zo8iznoz,DNMO,45594,49,['uk dance']
22WZ7M8sxp5THdruNY3gXt,The Doors,7494027,70,"['acid rock', 'album rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']"
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,19736089,76,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
0vYkHhJ48Bs3jWcvZXvOrP,Patti Smith,1052272,54,"['art punk', 'permanent wave', 'protopunk', 'singer-songwriter']"
2hGh5VOeeqimQFxqXvfCUf,John Coltrane,1574098,62,"['bebop', 'free jazz', 'jazz', 'jazz saxophone', 'vocal jazz']"
6Mo9PoU6svvhgEum7wh2Nd,Public Enemy,1039278,53,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'political hip hop']"
4wQ3PyMz3WwJGI5uEqHUVR,Allman Brothers Band,1544954,60,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'jam band', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'southern rock']"
70cRZdQywnSFp9pnc2WTCE,Simon & Garfunkel,4882400,68,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']"
1ZwdS5xdxEREPySFridCfh,2Pac,16502407,77,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
1eYhYunlNJlDoQhtYBvPsi,Ray Charles,2120309,65,"['classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']"
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,8837862,75,"['rock-and-roll', 'rockabilly']"
3obqIeGrzLJXoOdxatlprm,Kirill Tipo,166,1,[]
4OGuNAnRFWZOgOA2d51taz,Johnnie Taylor,211682,41,"['memphis soul', 'soul blues', 'southern soul']"
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,30152047,77,"['glam metal', 'hard rock', 'rock']"
10gzBoINW3cLJfZUka8Zoe,Above & Beyond,777767,58,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,8889874,78,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,5519257,73,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']"
2CvCyf1gEVhI0mX6aFXmVI,Paul Simon,2201707,65,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'soft rock']"
0LyfQWJT6nXafLPZqxe9Of,Various Artists,2272831,0,[]
53UQaKaoipgAfPoHqPa3vA,Jaybwoy,16,5,[]
6rmv9eJiqRPvpGQeJ7e6Nk,Mandy Rowden,358,0,[]
7GaxyUddsPok8BuhxN6OUW,James Brown,2087273,60,"['funk', 'soul']"
5a2EaR3hamoenG9rDuVn8j,Prince,7071168,68,"['funk', 'funk rock', 'minneapolis sound', 'rock', 'synth funk']"
711MCceyCBcFnzjGY4Q7Un,AC/DC,27540381,78,"['australian rock', 'hard rock', 'rock']"
4x1nvY2FN8jxqAFA0DA02H,John Lennon,5698719,66,"['beatlesque', 'classic rock', 'rock']"
6bqijgpAcVn9dEsvEpu4Ck,Clashers Season 2,7,0,[]
5V7NIXgCnX2KuQ01Bxg20c,Of The Trees,74604,46,"['experimental bass', 'glitch hop']"
7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,3236721,67,"['classic soul', 'jazz blues', 'memphis soul', 'neo soul', 'soul', 'southern soul', 'vocal jazz']"
6lqMXuu8EjQDDyCs89zf7a,Vi Redd,1838,7,[]
6kACVPfCOnqzgfEF5ryl0x,Johnny Cash,6069657,70,"['arkansas country', 'outlaw country', 'rock']"
5zaXYwewAXedKNCff45U5l,Dusty Springfield,434062,63,"['adult standards', 'british invasion', 'rock-and-roll', 'soul', 'vocal jazz']"
2YohShuz0Lf4i09lImCR5r,Georg Erixon,4257,47,['acoustic guitar cover']
6waa8mKu91GjzD4NlONlNJ,The Hollies,1138826,61,"['album rock', 'british blues', 'british invasion', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'soft rock']"
1FClsNYBUoNFtGgzeG74dW,Hank Williams,928268,54,"['country', 'honky tonk', 'traditional country', 'yodeling']"
67ea9eGLXYMsO2eYQRui3w,The Who,5210732,65,"['album rock', 'british invasion', 'classic rock', 'hard rock', 'rock']"
0VEYLlS75s0mdIznsxmwqf,The Imperials,24771,31,"['deep christian rock', 'jesus movement']"
2jgPkn6LuUazBoBk6vvjh5,The Zombies,926265,57,"['baroque pop', 'british invasion', 'classic rock', 'folk rock', 'psychedelic rock']"
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,6646143,74,"['adult standards', 'easy listening', 'lounge']"
74oJ4qxwOZvX6oSsu1DGnw,Cream,2251677,61,"['album rock', 'blues rock', 'british blues', 'classic rock', 'folk rock', 'hard rock', 'psychedelic rock', 'rock', 'singer-songwriter', 'supergroup']"
28j2IaYoLNPDEr3ogCZ4tM,Brendan Maynard + 2,123,24,['background jazz']
6zO6YtmClhozAfxR05frh2,Marie Miller,6125,15,[]
1co4F2pPNH8JjTutZkmgSm,Ramones,2518057,64,"['alternative rock', 'early us punk', 'permanent wave', 'punk', 'rock']"
2ijs0jA7fB11WRVE5F5B45,Danny Cody,40,0,[]
6FxuPrpa8phaP3Xn73emhT,The Wood Brothers,219812,46,"['jam band', 'modern blues', 'new americana', 'progressive bluegrass', 'roots rock', 'stomp and holler']"
1bs7HoMkSyQwcobCpE9KpN,The Mamas & The Papas,1646169,65,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'sunshine pop']"
18fFwzg9EnT0eG1j0IhoeY,Lisa Michelle Anderson,22,0,[]
4zQjIBNXiHAGaOvnAWFrZ2,Dian Sri Pujiastuti,0,0,[]
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,21803836,88,"['chicago rap', 'hip hop', 'rap']"
0iOVhN3tnSvgDbcg25JoJb,Etta James,1554286,65,"['jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
1PCZpxHJz7WAMF8EEq8bfc,The Byrds,956474,53,"['album rock', 'beatlesque', 'blues rock', 'british blues', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock']"
4HQUFZUKjXhvh9rS23DYzG,Rocker's Revenge,1982,18,"['boogie', 'post-disco']"
3CQIn7N5CuRDP8wEI7FiDA,Run–D.M.C.,1295300,58,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'queens hip hop', 'rap']"
5bfqwcEcRrMhtY9smw3IeJ,Dave B.,86748,40,['seattle hip hop']
2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,11853519,75,"['reggae', 'roots reggae']"
0mBDRW65svvamuKzjyB5uP,Kamban,12057,27,"['christian hip hop', 'christian trap']"
2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,2274642,67,"['alternative rock', 'art punk', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']"
0S7Zur2g8YhqlzqtlYStli,Television,348477,41,"['alternative rock', 'art punk', 'experimental rock', 'indie rock', 'no wave', 'noise pop', 'post-punk', 'protopunk', 'punk', 'singer-songwriter']"
7gcq03kJfgHiW2qPTwS6q1,ay3demi,28382,50,['bedroom r&b']
7KQRHTFIv5yBauZyAaerXn,MajinBlxxdy,16295,34,['sigilkore']
1vCWHaC5f2uS3yhpwWbIA6,Avicii,23145950,78,"['dance pop', 'edm', 'pop', 'pop dance']"
6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,10684538,77,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
