sp_trackid,sp_trackname,albums_sp_albumid
4ZY1RPoLfezEqu03BI2axd,Sgt. Pepper's Lonely Hearts Club Band,1x1jpjDbetGqX0IKCUIBNj
0QLyr8xasb6tgGkdPWYw8d,With a Little Help From My Friends,1x1jpjDbetGqX0IKCUIBNj
1YFlTlQHKR62Sh39ctI7jX,Lucy in the Sky with Diamonds,1x1jpjDbetGqX0IKCUIBNj
1aBpFQAum7vESFuNnWeZZI,Getting Better,1x1jpjDbetGqX0IKCUIBNj
2OePklaMhBp1kCbbTq5UVk,Fixing a Hole,1x1jpjDbetGqX0IKCUIBNj
1lTPX7LtskNPbQpOTnUm3J,She's Leaving Home,1x1jpjDbetGqX0IKCUIBNj
3a2WXzUeNOZKWMlYaboODf,Being for the Benefit of Mr. Kite!,1x1jpjDbetGqX0IKCUIBNj
5aaWMUbIKP8htO1mBssqyF,Within You Without You,1x1jpjDbetGqX0IKCUIBNj
6o9He6YMgkVikkgemmkUW8,When I'm Sixty-Four,1x1jpjDbetGqX0IKCUIBNj
5ix0b3KoyMyVKKOisQmqZ7,Lovely Rita,1x1jpjDbetGqX0IKCUIBNj
5xie7SfRcBp977URxV9TNK,Good Morning Good Morning,1x1jpjDbetGqX0IKCUIBNj
6QPBK0Y8mIBvi4p6jkmB01,Sgt. Pepper's Lonely Hearts Club Band - Reprise,1x1jpjDbetGqX0IKCUIBNj
0mMx4J1B96vOO5CqHGfL4d,A Day in the Life,1x1jpjDbetGqX0IKCUIBNj
4IHc6SzGPnzSPuHVEPzpJc,Wouldn't It Be Nice,2CNEkSE8TADXRT2AzcEt1b
2xNZK0n7SV7qvV1AlH30Dp,You Still Believe In Me,2CNEkSE8TADXRT2AzcEt1b
0j0y0KnYpbNSiJ0YBwRx9E,That's Not Me,2CNEkSE8TADXRT2AzcEt1b
6BWZ4BPsftc9v7sUMFOAr4,Don't Talk (Put Your Head On My Shoulder),2CNEkSE8TADXRT2AzcEt1b
56rf6DuAv3AGpLIhXVagTM,I'm Waiting For The Day,2CNEkSE8TADXRT2AzcEt1b
1kl9i2FGtcO34whpvwZb18,Let's Go Away For Awhile,2CNEkSE8TADXRT2AzcEt1b
72fAewq2UVWSf3RjtqICdS,Sloop John B,2CNEkSE8TADXRT2AzcEt1b
17QTsL4K9B9v4rI8CAIdfC,God Only Knows - Remastered 1996,2CNEkSE8TADXRT2AzcEt1b
2NqMUVziSGdz1MizMFu3aT,I Know There's An Answer,2CNEkSE8TADXRT2AzcEt1b
2QHf2UijcOOpLgEsA3YOjm,Here Today,2CNEkSE8TADXRT2AzcEt1b
7Jljbi0t6TIusvUm3HnCAb,I Just Wasn't Made For These Times,2CNEkSE8TADXRT2AzcEt1b
1RDva71oSm8zSnRLMQm6Gx,Pet Sounds,2CNEkSE8TADXRT2AzcEt1b
78OmsgtUu4qsSvo6I7J2SN,"Caroline, No",2CNEkSE8TADXRT2AzcEt1b
5LlORtdsXmz2VBANWs4mG5,REVOLVER,0T1sskJDoybYGvPU5aw5Cf
3AhXZa8sUQht0UEdBJgpGc,Like a Rolling Stone,6YabPKtZAjxwyWbuO9p4ZD
5JqsRFZYDtIK5Rgeuzd2Jv,Tombstone Blues,6YabPKtZAjxwyWbuO9p4ZD
2yaf46YMxA5y6bzmWUKgXC,"It Takes a Lot to Laugh, It Takes a Train to Cry",6YabPKtZAjxwyWbuO9p4ZD
6txGFpco4cfgG1sA1MxLCp,From a Buick 6,6YabPKtZAjxwyWbuO9p4ZD
0f5N14nB8xi0p3o4BlVvbx,Ballad of a Thin Man,6YabPKtZAjxwyWbuO9p4ZD
0c2DAekH6ZEnHhf8dM1leK,Queen Jane Approximately,6YabPKtZAjxwyWbuO9p4ZD
6os5B6xjuke9YfBKH3tu1e,Highway 61 Revisited,6YabPKtZAjxwyWbuO9p4ZD
0V1771LhL3tG36pb55EZAH,Just Like Tom Thumb's Blues,6YabPKtZAjxwyWbuO9p4ZD
4n1ZGm3TxYmoYe1YR8cMus,Desolation Row,6YabPKtZAjxwyWbuO9p4ZD
6uNU5nh5talCFSHd55QKwa,Drive My Car,5TIQEIzrI6RQfUVQ5Y571D
7jBBqq3AqD2R1okDMYfqJh,Norwegian Wood,5TIQEIzrI6RQfUVQ5Y571D
7k4llVsGo3C3U94gl6TTOJ,You Won't See Me,5TIQEIzrI6RQfUVQ5Y571D
5bSutNi8EQL06gRtBXETHz,Nowhere Man,5TIQEIzrI6RQfUVQ5Y571D
2UmMajWJPJPyOkkfQqERyK,Think For Yourself,5TIQEIzrI6RQfUVQ5Y571D
1Lu0FEYV9CPNr2htsqtcoo,The Word,5TIQEIzrI6RQfUVQ5Y571D
2G45abrU3yYcZeQm68qIea,Michelle,5TIQEIzrI6RQfUVQ5Y571D
3eQU18I5aYvFUTRmaWHOUr,What Goes On,5TIQEIzrI6RQfUVQ5Y571D
7MZJ2RVlGvcrKoGsFGbWjr,Girl,5TIQEIzrI6RQfUVQ5Y571D
7GxmND34tIeKKf02kcJvYI,I'm Looking Through You,5TIQEIzrI6RQfUVQ5Y571D
1tGFDxFBzaxNyraChT6TWO,In My Life,5TIQEIzrI6RQfUVQ5Y571D
2KEBYcOxmNk3UArd56gCq4,Wait,5TIQEIzrI6RQfUVQ5Y571D
5w1EyZW0HBSNSulbaX6sxl,If I Needed Someone,5TIQEIzrI6RQfUVQ5Y571D
7iT5CV7PT8GE8sAH1uwzWI,Run For Your Life,5TIQEIzrI6RQfUVQ5Y571D
6F9d31FleaYTpRZoumGRuz,Day Tripper,5TIQEIzrI6RQfUVQ5Y571D
7ASr6iegxyYak0XrCc8dcZ,We Can Work It Out,5TIQEIzrI6RQfUVQ5Y571D
4OCS9QsfTIX27K3N1oyZ85,Rocks Off,7GxLUFkXPoxcLxD7cZVlpV
3SRzJ6nnHmLllOl9JU1QR1,Rip This Joint,7GxLUFkXPoxcLxD7cZVlpV
3FoDXHVvWBNLoDFZ60yJjb,Shake Your Hips,7GxLUFkXPoxcLxD7cZVlpV
0WAcvdwkebKyYYqPnV30NH,Casino Boogie,7GxLUFkXPoxcLxD7cZVlpV
4XZyIIKzzRCcb0CUQRpDfn,Tumbling Dice,7GxLUFkXPoxcLxD7cZVlpV
0ouF1jIxjAP1wbfbTs4lJG,Sweet Virginia,7GxLUFkXPoxcLxD7cZVlpV
